Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.3804823924735097495580031874,0.38048239247351,0.38048239247351,0.38048239247351,0.38048239247351,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,426043.1
0.02,0,0.3837831500002309117476512056,0.383783150000231,0.383783150000231,0.383783150000231,0.383783150000231,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,852086.2
0.03,0,0.3918083041558412590983547170,0.391808304155841,0.391808304155841,0.391808304155841,0.391808304155841,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,1278129
0.04,0,0.3904437901995105060632712194,0.39044379019951,0.39044379019951,0.39044379019951,0.39044379019951,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,1704172
0.05,0,0.3866200236079506338807374459,0.386620023607951,0.386620023607951,0.386620023607951,0.386620023607951,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,2130216
0.06,0,0.3821942199883373438782343732,0.382194219988337,0.382194219988337,0.382194219988337,0.382194219988337,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,2556258
0.07,0,0.3777646061114605916660292554,0.377764606111461,0.377764606111461,0.377764606111461,0.377764606111461,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,2982302
0.08,0,0.3735349958817169035700688056,0.373534995881717,0.373534995881717,0.373534995881717,0.373534995881717,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,3408345
0.09,0,0.3695678682353449132679749126,0.369567868235345,0.369567868235345,0.369567868235345,0.369567868235345,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,3834388
0.10,0,0.3658714222141953624500569682,0.365871422214195,0.365871422214195,0.365871422214195,0.365871422214195,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,4260431
0.11,0,0.3624328746913921152647054713,0.362432874691392,0.362432874691392,0.362432874691392,0.362432874691392,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,4686474
0.12,0,0.3592321619620905633819682762,0.359232161962091,0.359232161962091,0.359232161962091,0.359232161962091,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,5112517
0.13,0,0.3562475550474982625271796788,0.356247555047498,0.356247555047498,0.356247555047498,0.356247555047498,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,5538560
0.14,0,0.3534581600189691263837889820,0.353458160018969,0.353458160018969,0.353458160018969,0.353458160018969,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,5964604
0.15,0,0.3508447936543756785363903518,0.350844793654376,0.350844793654376,0.350844793654376,0.350844793654376,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,6390647
0.16,0,0.3483901868021686879618870092,0.348390186802169,0.348390186802169,0.348390186802169,0.348390186802169,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,6816690
0.17,0,0.3456976471606566850678052206,0.345697647160657,0.345697647160657,0.345697647160657,0.345697647160657,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,7242733
0.18,0,0.3466237090977720505057343015,0.346623709097772,0.346623709097772,0.346623709097772,0.346623709097772,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,7668776
0.19,0,0.3473269546363301210855713818,0.34732695463633,0.34732695463633,0.34732695463633,0.34732695463633,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,8094819
0.20,0,0.3478485675258867621116596364,0.347848567525887,0.347848567525887,0.347848567525887,0.347848567525887,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,8520862
0.21,0,0.3482210526443900828696185410,0.34822105264439,0.34822105264439,0.34822105264439,0.34822105264439,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,8946905
0.22,0,0.3484703046028270895298919990,0.348470304602827,0.348470304602827,0.348470304602827,0.348470304602827,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,9372948
0.23,0,0.3486172476226513157964450062,0.348617247622651,0.348617247622651,0.348617247622651,0.348617247622651,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,9798992
0.24,0,0.3486787686968173024410679294,0.348678768696817,0.348678768696817,0.348678768696817,0.348678768696817,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,10225030
0.25,0,0.3486687858562023371356391606,0.348668785856202,0.348668785856202,0.348668785856202,0.348668785856202,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,10651080
0.26,0,0.3486979820374681327389054736,0.348697982037468,0.348697982037468,0.348697982037468,0.348697982037468,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,11077120
0.27,0,0.3486800968421949984857235022,0.348680096842195,0.348680096842195,0.348680096842195,0.348680096842195,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,11503160
0.28,0,0.3486225348788648862698400753,0.348622534878865,0.348622534878865,0.348622534878865,0.348622534878865,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,11929210
0.29,0,0.3485314859999152616495577929,0.348531485999915,0.348531485999915,0.348531485999915,0.348531485999915,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,12355250
0.30,0,0.3484121677026886954287834994,0.348412167702689,0.348412167702689,0.348412167702689,0.348412167702689,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,12781290
0.31,0,0.3482690187806056270123680131,0.348269018780606,0.348269018780606,0.348269018780606,0.348269018780606,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,13207340
0.32,0,0.3481057288726527688104722686,0.348105728872653,0.348105728872653,0.348105728872653,0.348105728872653,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,13633380
0.33,0,0.3479255532238106048734822436,0.347925553223811,0.347925553223811,0.347925553223811,0.347925553223811,0,0,0,0,5.35423169995895,42.505016565978222356979002559,42.505016565978222356979002559,14059420
