Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.3852078951992744192559011978,0.385207895199274,0.385207895199274,0.385207895199274,0.385207895199274,0,0,0,0,5.35423169995895,45.107492809197698953366147986,45.107492809197698953366147986,449712.2
0.02,0,0.4007213908916353392418291061,0.400721390891635,0.400721390891635,0.400721390891635,0.400721390891635,0,0,0,0,5.35423169995895,45.107492809197698953366147986,45.107492809197698953366147986,899424.3
0.03,0,0.4081762727053010341569361179,0.408176272705301,0.408176272705301,0.408176272705301,0.408176272705301,0,0,0,0,5.35423169995895,45.107492809197698953366147986,45.107492809197698953366147986,1349136
0.04,0,0.4062482425932950407772295342,0.406248242593295,0.406248242593295,0.406248242593295,0.406248242593295,0,0,0,0,5.35423169995895,45.107492809197698953366147986,45.107492809197698953366147986,1798849
0.05,0,0.4019510419296960078231994633,0.401951041929696,0.401951041929696,0.401951041929696,0.401951041929696,0,0,0,0,5.35423169995895,45.107492809197698953366147986,45.107492809197698953366147986,2248561
0.06,0,0.3971277209136297340832008117,0.39712772091363,0.39712772091363,0.39712772091363,0.39712772091363,0,0,0,0,5.35423169995895,45.107492809197698953366147986,45.107492809197698953366147986,2698273
0.07,0,0.3923590751698655511179005578,0.392359075169866,0.392359075169866,0.392359075169866,0.392359075169866,0,0,0,0,5.35423169995895,45.107492809197698953366147986,45.107492809197698953366147986,3147985
0.08,0,0.3878356266567421682289626964,0.387835626656742,0.387835626656742,0.387835626656742,0.387835626656742,0,0,0,0,5.35423169995895,45.107492809197698953366147986,45.107492809197698953366147986,3597697
0.09,0,0.3836101338943162778454524783,0.383610133894316,0.383610133894316,0.383610133894316,0.383610133894316,0,0,0,0,5.35423169995895,45.107492809197698953366147986,45.107492809197698953366147986,4047410
0.10,0,0.3796838295451079907234533161,0.379683829545108,0.379683829545108,0.379683829545108,0.379683829545108,0,0,0,0,5.35423169995895,45.107492809197698953366147986,45.107492809197698953366147986,4497122
0.11,0,0.3760386779234964069222715862,0.376038677923496,0.376038677923496,0.376038677923496,0.376038677923496,0,0,0,0,5.35423169995895,45.107492809197698953366147986,45.107492809197698953366147986,4946834
0.12,0,0.3726506527645120496331495951,0.372650652764512,0.372650652764512,0.372650652764512,0.372650652764512,0,0,0,0,5.35423169995895,45.107492809197698953366147986,45.107492809197698953366147986,5396546
