Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.3880865672665211891719955569,0.388086567266521,0.388086567266521,0.388086567266521,0.388086567266521,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,485215.8
0.02,0,0.4200930509941461521369431320,0.420093050994146,0.420093050994146,0.420093050994146,0.420093050994146,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,970431.5
0.03,0,0.4258200243865558271562002721,0.425820024386556,0.425820024386556,0.425820024386556,0.425820024386556,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,1455647
0.04,0,0.4227722824681626972302467352,0.422772282468163,0.422772282468163,0.422772282468163,0.422772282468163,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,1940863
0.05,0,0.4176809912283664240261990809,0.417680991228366,0.417680991228366,0.417680991228366,0.417680991228366,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,2426079
0.06,0,0.4122548068402240799441832299,0.412254806840224,0.412254806840224,0.412254806840224,0.412254806840224,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,2911294
0.07,0,0.4070062327497934901592431204,0.407006232749794,0.407006232749794,0.407006232749794,0.407006232749794,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,3396510
0.08,0,0.4020874361888603518843853186,0.40208743618886,0.40208743618886,0.40208743618886,0.40208743618886,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,3881726
0.09,0,0.3975278244166267936323075134,0.397527824416627,0.397527824416627,0.397527824416627,0.397527824416627,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,4366942
0.10,0,0.3933134862073619453698522820,0.393313486207362,0.393313486207362,0.393313486207362,0.393313486207362,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,4852158
0.11,0,0.3894160849515043520946526089,0.389416084951504,0.389416084951504,0.389416084951504,0.389416084951504,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,5337374
0.12,0,0.3858043019058817136712875497,0.385804301905882,0.385804301905882,0.385804301905882,0.385804301905882,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,5822589
0.13,0,0.3824480019869001060450604342,0.3824480019869,0.3824480019869,0.3824480019869,0.3824480019869,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,6307805
0.14,0,0.3793198813625963859059159514,0.379319881362596,0.379319881362596,0.379319881362596,0.379319881362596,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,6793021
0.15,0,0.3763957449112704416290730011,0.37639574491127,0.37639574491127,0.37639574491127,0.37639574491127,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,7278237
0.16,0,0.3736543568452455587049117156,0.373654356845246,0.373654356845246,0.373654356845246,0.373654356845246,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,7763452
0.17,0,0.3706958149225338611995066029,0.370695814922534,0.370695814922534,0.370695814922534,0.370695814922534,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,8248668
0.18,0,0.3713740396922848903699150029,0.371374039692285,0.371374039692285,0.371374039692285,0.371374039692285,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,8733884
0.19,0,0.3718454490010885519993944822,0.371845449001089,0.371845449001089,0.371845449001089,0.371845449001089,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,9219100
0.20,0,0.3721494180206300126025702781,0.37214941802063,0.37214941802063,0.37214941802063,0.37214941802063,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,9704316
0.21,0,0.3723169095779840205956757555,0.372316909577984,0.372316909577984,0.372316909577984,0.372316909577984,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,10189530
0.22,0,0.3723725851184656377752826277,0.372372585118466,0.372372585118466,0.372372585118466,0.372372585118466,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,10674750
0.23,0,0.3723361483666524310466655099,0.372336148366652,0.372336148366652,0.372336148366652,0.372336148366652,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,11159960
0.24,0,0.3722236302343488569491627053,0.372223630234349,0.372223630234349,0.372223630234349,0.372223630234349,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,11645180
0.25,0,0.3720480533746684564489889116,0.372048053374668,0.372048053374668,0.372048053374668,0.372048053374668,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,12130390
0.26,0,0.3719193797878339174133975932,0.371919379787834,0.371919379787834,0.371919379787834,0.371919379787834,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,12615610
0.27,0,0.3717506896881862605937651790,0.371750689688186,0.371750689688186,0.371750689688186,0.371750689688186,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,13100830
0.28,0,0.3715488403832593810801798654,0.371548840383259,0.371548840383259,0.371548840383259,0.371548840383259,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,13586040
0.29,0,0.3713195419128653777361325092,0.371319541912865,0.371319541912865,0.371319541912865,0.371319541912865,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,14071260
0.30,0,0.3710675391389164702455768560,0.371067539138916,0.371067539138916,0.371067539138916,0.371067539138916,0,0,0,0,5.35423169995895,49.91068244328672631736299455,49.91068244328672631736299455,14556470
