Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.3822113997838750059072600053,0.382211399783875,0.382211399783875,0.382211399783875,0.382211399783875,0,0,0,0,5.35423169995895,39.503771569427167028703160328,39.503771569427167028703160328,408291.3
0.02,0,0.3782370998948150663623805816,0.378237099894815,0.378237099894815,0.378237099894815,0.378237099894815,0,0,0,0,5.35423169995895,39.503771569427167028703160328,39.503771569427167028703160328,816582.6
0.03,0,0.3878151144277421525615761617,0.387815114427742,0.387815114427742,0.387815114427742,0.387815114427742,0,0,0,0,5.35423169995895,39.503771569427167028703160328,39.503771569427167028703160328,1224874
0.04,0,0.3872756203889354400907375091,0.387275620388935,0.387275620388935,0.387275620388935,0.387275620388935,0,0,0,0,5.35423169995895,39.503771569427167028703160328,39.503771569427167028703160328,1633165
0.05,0,0.3839572914050793034964608708,0.383957291405079,0.383957291405079,0.383957291405079,0.383957291405079,0,0,0,0,5.35423169995895,39.503771569427167028703160328,39.503771569427167028703160328,2041457
0.06,0,0.3798720169100634351514544587,0.379872016910063,0.379872016910063,0.379872016910063,0.379872016910063,0,0,0,0,5.35423169995895,39.503771569427167028703160328,39.503771569427167028703160328,2449748
0.07,0,0.3756872420987247043949981653,0.375687242098725,0.375687242098725,0.375687242098725,0.375687242098725,0,0,0,0,5.35423169995895,39.503771569427167028703160328,39.503771569427167028703160328,2858039
0.08,0,0.3716421529620445791268568920,0.371642152962045,0.371642152962045,0.371642152962045,0.371642152962045,0,0,0,0,5.35423169995895,39.503771569427167028703160328,39.503771569427167028703160328,3266330
0.09,0,0.3678190429256305207762227706,0.36781904292563,0.36781904292563,0.36781904292563,0.36781904292563,0,0,0,0,5.35423169995895,39.503771569427167028703160328,39.503771569427167028703160328,3674622
0.10,0,0.3642382062638432423490084925,0.364238206263843,0.364238206263843,0.364238206263843,0.364238206263843,0,0,0,0,5.35423169995895,39.503771569427167028703160328,39.503771569427167028703160328,4082913
0.11,0,0.3608945294458549132298210195,0.360894529445855,0.360894529445855,0.360894529445855,0.360894529445855,0,0,0,0,5.35423169995895,39.503771569427167028703160328,39.503771569427167028703160328,4491204
0.12,0,0.3577730946485255221078411087,0.357773094648526,0.357773094648526,0.357773094648526,0.357773094648526,0,0,0,0,5.35423169995895,39.503771569427167028703160328,39.503771569427167028703160328,4899496
0.13,0,0.3548557552722626776055690007,0.354855755272263,0.354855755272263,0.354855755272263,0.354855755272263,0,0,0,0,5.35423169995895,39.503771569427167028703160328,39.503771569427167028703160328,5307787
0.14,0,0.3521241770117639457907910774,0.352124177011764,0.352124177011764,0.352124177011764,0.352124177011764,0,0,0,0,5.35423169995895,39.503771569427167028703160328,39.503771569427167028703160328,5716078
0.15,0,0.3495610471421785174767224040,0.349561047142178,0.349561047142178,0.349561047142178,0.349561047142178,0,0,0,0,5.35423169995895,39.503771569427167028703160328,39.503771569427167028703160328,6124370
0.16,0,0.3471505190656642286076513458,0.347150519065664,0.347150519065664,0.347150519065664,0.347150519065664,0,0,0,0,5.35423169995895,39.503771569427167028703160328,39.503771569427167028703160328,6532661
0.17,0,0.3444969786154476635064596879,0.344496978615448,0.344496978615448,0.344496978615448,0.344496978615448,0,0,0,0,5.35423169995895,39.503771569427167028703160328,39.503771569427167028703160328,6940952
0.18,0,0.3454577992395395249836234905,0.34545779923954,0.34545779923954,0.34545779923954,0.34545779923954,0,0,0,0,5.35423169995895,39.503771569427167028703160328,39.503771569427167028703160328,7349244
