Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.3844311489249587959652758800,0.384431148924959,0.384431148924959,0.384431148924959,0.384431148924959,0,0,0,0,5.35423169995895,50.81165204459049223435413253,50.81165204459049223435413253,485215.8
0.02,0,0.4143386826911769133338338204,0.414338682691177,0.414338682691177,0.414338682691177,0.414338682691177,0,0,0,0,5.35423169995895,50.81165204459049223435413253,50.81165204459049223435413253,970431.5
0.03,0,0.4194263050059297079768850595,0.41942630500593,0.41942630500593,0.41942630500593,0.41942630500593,0,0,0,0,5.35423169995895,50.81165204459049223435413253,50.81165204459049223435413253,1455647
0.04,0,0.4161790398080306995325285275,0.416179039808031,0.416179039808031,0.416179039808031,0.416179039808031,0,0,0,0,5.35423169995895,50.81165204459049223435413253,50.81165204459049223435413253,1940863
0.05,0,0.4110341345203926036592428822,0.411034134520393,0.411034134520393,0.411034134520393,0.411034134520393,0,0,0,0,5.35423169995895,50.81165204459049223435413253,50.81165204459049223435413253,2426079
0.06,0,0.4056138272343926656579485086,0.405613827234393,0.405613827234393,0.405613827234393,0.405613827234393,0,0,0,0,5.35423169995895,50.81165204459049223435413253,50.81165204459049223435413253,2911294
0.07,0,0.4003979271790852852189425579,0.400397927179085,0.400397927179085,0.400397927179085,0.400397927179085,0,0,0,0,5.35423169995895,50.81165204459049223435413253,50.81165204459049223435413253,3396510
0.08,0,0.3955242655677074980513625295,0.395524265567708,0.395524265567708,0.395524265567708,0.395524265567708,0,0,0,0,5.35423169995895,50.81165204459049223435413253,50.81165204459049223435413253,3881726
0.09,0,0.3910153441813819903799402134,0.391015344181382,0.391015344181382,0.391015344181382,0.391015344181382,0,0,0,0,5.35423169995895,50.81165204459049223435413253,50.81165204459049223435413253,4366942
0.10,0,0.3868537182508175201778090259,0.386853718250818,0.386853718250818,0.386853718250818,0.386853718250818,0,0,0,0,5.35423169995895,50.81165204459049223435413253,50.81165204459049223435413253,4852158
0.11,0,0.3830091777761054810295777745,0.383009177776106,0.383009177776106,0.383009177776106,0.383009177776106,0,0,0,0,5.35423169995895,50.81165204459049223435413253,50.81165204459049223435413253,5337374
0.12,0,0.3794493981583346138812663380,0.379449398158335,0.379449398158335,0.379449398158335,0.379449398158335,0,0,0,0,5.35423169995895,50.81165204459049223435413253,50.81165204459049223435413253,5822589
0.13,0,0.3761437125222099350613634663,0.37614371252221,0.37614371252221,0.37614371252221,0.37614371252221,0,0,0,0,5.35423169995895,50.81165204459049223435413253,50.81165204459049223435413253,6307805
0.14,0,0.3730645517588999888122643932,0.3730645517589,0.3730645517589,0.3730645517589,0.3730645517589,0,0,0,0,5.35423169995895,50.81165204459049223435413253,50.81165204459049223435413253,6793021
0.15,0,0.3701876088905816612275657699,0.370187608890582,0.370187608890582,0.370187608890582,0.370187608890582,0,0,0,0,5.35423169995895,50.81165204459049223435413253,50.81165204459049223435413253,7278237
0.16,0,0.3674916250210990866251602189,0.367491625021099,0.367491625021099,0.367491625021099,0.367491625021099,0,0,0,0,5.35423169995895,50.81165204459049223435413253,50.81165204459049223435413253,7763452
0.17,0,0.3645767263072558876630986687,0.364576726307256,0.364576726307256,0.364576726307256,0.364576726307256,0,0,0,0,5.35423169995895,50.81165204459049223435413253,50.81165204459049223435413253,8248668
0.18,0,0.3652968902560992021929240550,0.365296890256099,0.365296890256099,0.365296890256099,0.365296890256099,0,0,0,0,5.35423169995895,50.81165204459049223435413253,50.81165204459049223435413253,8733884
0.19,0,0.3658086070994353586314062698,0.365808607099435,0.365808607099435,0.365808607099435,0.365808607099435,0,0,0,0,5.35423169995895,50.81165204459049223435413253,50.81165204459049223435413253,9219100
0.20,0,0.3661513315149661674265065150,0.366151331514966,0.366151331514966,0.366151331514966,0.366151331514966,0,0,0,0,5.35423169995895,50.81165204459049223435413253,50.81165204459049223435413253,9704316
