Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.3826678381691026856602372287,0.382667838169103,0.382667838169103,0.382667838169103,0.382667838169103,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,449712.2
0.02,0,0.3970127601504651824225643733,0.397012760150465,0.397012760150465,0.397012760150465,0.397012760150465,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,899424.3
0.03,0,0.4039693220542566066699669940,0.403969322054257,0.403969322054257,0.403969322054257,0.403969322054257,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,1349136
0.04,0,0.4018751159730825664056025103,0.401875115973083,0.401875115973083,0.401875115973083,0.401875115973083,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,1798849
0.05,0,0.3975236600968125957038059511,0.397523660096813,0.397523660096813,0.397523660096813,0.397523660096813,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,2248561
0.06,0,0.3930419562048500714862221693,0.39304195620485,0.39304195620485,0.39304195620485,0.39304195620485,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,2698273
0.07,0,0.3923369415252737888300160528,0.392336941525274,0.392336941525274,0.392336941525274,0.392336941525274,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,3147985
0.08,0,0.3911024339613346613802406964,0.391102433961335,0.391102433961335,0.391102433961335,0.391102433961335,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,3597697
0.09,0,0.3896106873338650076343383706,0.389610687333865,0.389610687333865,0.389610687333865,0.389610687333865,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,4047410
0.10,0,0.3880039819184788609241666900,0.388003981918479,0.388003981918479,0.388003981918479,0.388003981918479,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,4497122
0.11,0,0.3863597767379064021697984598,0.386359776737906,0.386359776737906,0.386359776737906,0.386359776737906,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,4946834
0.12,0,0.3847212035317941894587703431,0.384721203531794,0.384721203531794,0.384721203531794,0.384721203531794,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,5396546
0.13,0,0.3831123617562422847923937083,0.383112361756242,0.383112361756242,0.383112361756242,0.383112361756242,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,5846258
0.14,0,0.3815464349091335940502225088,0.381546434909134,0.381546434909134,0.381546434909134,0.381546434909134,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,6295970
0.15,0,0.3800301884875312487308249115,0.380030188487531,0.380030188487531,0.380030188487531,0.380030188487531,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,6745683
0.16,0,0.3785665735374227921268077118,0.378566573537423,0.378566573537423,0.378566573537423,0.378566573537423,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,7195394
0.17,0,0.3771528636084744692632961627,0.377152863608474,0.377152863608474,0.377152863608474,0.377152863608474,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,7645107
0.18,0,0.3757950499168122665159501705,0.375795049916812,0.375795049916812,0.375795049916812,0.375795049916812,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,8094820
0.19,0,0.3744882497361366749925302194,0.374488249736137,0.374488249736137,0.374488249736137,0.374488249736137,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,8544531
0.20,0,0.3732304718660478691820800082,0.373230471866048,0.373230471866048,0.373230471866048,0.373230471866048,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,8994244
0.21,0,0.3720195224816031512575826532,0.372019522481603,0.372019522481603,0.372019522481603,0.372019522481603,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,9443955
0.22,0,0.3708530999285185689726967913,0.370853099928519,0.370853099928519,0.370853099928519,0.370853099928519,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,9893668
0.23,0,0.3697289223632546817587200862,0.369728922363255,0.369728922363255,0.369728922363255,0.369728922363255,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,10343380
0.24,0,0.3686447564231099377113209423,0.36864475642311,0.36864475642311,0.36864475642311,0.36864475642311,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,10793090
0.25,0,0.3675984473141344758372000792,0.367598447314134,0.367598447314134,0.367598447314134,0.367598447314134,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,11242800
0.26,0,0.3667094845905848355799712485,0.366709484590585,0.366709484590585,0.366709484590585,0.366709484590585,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,11692520
0.27,0,0.3658544193306279109800153540,0.365854419330628,0.365854419330628,0.365854419330628,0.365854419330628,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,12142230
0.28,0,0.3650314066590897759437876668,0.36503140665909,0.36503140665909,0.36503140665909,0.36503140665909,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,12591940
0.29,0,0.3642387366436875924133757313,0.364238736643688,0.364238736643688,0.364238736643688,0.364238736643688,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,13041650
0.30,0,0.3634747667135553952091266029,0.363474766713555,0.363474766713555,0.363474766713555,0.363474766713555,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,13491370
0.31,0,0.3627380813877079172722330653,0.362738081387708,0.362738081387708,0.362738081387708,0.362738081387708,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,13941080
0.32,0,0.3620272385216381936219586284,0.362027238521638,0.362027238521638,0.362027238521638,0.362027238521638,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,14390790
0.33,0,0.3613409292737772909389685449,0.361340929273777,0.361340929273777,0.361340929273777,0.361340929273777,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,14840500
0.34,0,0.3606779303957816051644674948,0.360677930395782,0.360677930395782,0.360677930395782,0.360677930395782,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,15290210
0.35,0,0.3600370816080291729427098687,0.360037081608029,0.360037081608029,0.360037081608029,0.360037081608029,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,15739930
0.36,0,0.3594173472480240408359858300,0.359417347248024,0.359417347248024,0.359417347248024,0.359417347248024,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,16189640
0.37,0,0.3588176875658965140171738848,0.358817687565897,0.358817687565897,0.358817687565897,0.358817687565897,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,16639350
0.38,0,0.3582372085915201301023025460,0.35823720859152,0.35823720859152,0.35823720859152,0.35823720859152,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,17089060
0.39,0,0.3576750103056125055995635299,0.357675010305613,0.357675010305613,0.357675010305613,0.357675010305613,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,17538770
0.40,0,0.3571302542817554182704957432,0.357130254281755,0.357130254281755,0.357130254281755,0.357130254281755,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,17988490
0.41,0,0.3566021968748908888440220225,0.356602196874891,0.356602196874891,0.356602196874891,0.356602196874891,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,18438200
0.42,0,0.3560900749749329683358368078,0.356090074974933,0.356090074974933,0.356090074974933,0.356090074974933,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,18887910
0.43,0,0.3555932488395824460344849347,0.355593248839582,0.355593248839582,0.355593248839582,0.355593248839582,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,19337620
0.44,0,0.3551110407276042438008020846,0.355111040727604,0.355111040727604,0.355111040727604,0.355111040727604,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,19787340
0.45,0,0.3546428719999621383969939531,0.354642871999962,0.354642871999962,0.354642871999962,0.354642871999962,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,20237050
0.46,0,0.3541881582650673706613261997,0.354188158265067,0.354188158265067,0.354188158265067,0.354188158265067,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,20686760
0.47,0,0.3537463609383096299317628005,0.35374636093831,0.35374636093831,0.35374636093831,0.35374636093831,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,21136470
0.48,0,0.3533169497458612875944301831,0.353316949745861,0.353316949745861,0.353316949745861,0.353316949745861,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,21586180
0.49,0,0.3528994754210258703867390360,0.352899475421026,0.352899475421026,0.352899475421026,0.352899475421026,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,22035900
0.50,0,0.3524934855343602205555899110,0.35249348553436,0.35249348553436,0.35249348553436,0.35249348553436,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,22485610
0.51,0,0.3520985374627895682934491674,0.35209853746279,0.35209853746279,0.35209853746279,0.35209853746279,0,0,0,0,5.35423169995895,45.708139210066876231360239972,45.708139210066876231360239972,22935320
