Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.3863735913191016768907305839,0.386373591319102,0.386373591319102,0.386373591319102,0.386373591319102,0,0,0,0,5.35423169995895,56.765750351534710904513673847,56.765750351534710904513673847,526636.6
0.02,0,0.4343381060607916452549183054,0.434338106060792,0.434338106060792,0.434338106060792,0.434338106060792,0,0,0,0,5.35423169995895,56.765750351534710904513673847,56.765750351534710904513673847,1053273
0.03,0,0.4373737399103120282982480247,0.437373739910312,0.437373739910312,0.437373739910312,0.437373739910312,0,0,0,0,5.35423169995895,56.765750351534710904513673847,56.765750351534710904513673847,1579910
0.04,0,0.4328641469911358602124491153,0.432864146991136,0.432864146991136,0.432864146991136,0.432864146991136,0,0,0,0,5.35423169995895,56.765750351534710904513673847,56.765750351534710904513673847,2106546
0.05,0,0.4268462227890310789877390383,0.426846222789031,0.426846222789031,0.426846222789031,0.426846222789031,0,0,0,0,5.35423169995895,56.765750351534710904513673847,56.765750351534710904513673847,2633183
0.06,0,0.4207738224300736627934739251,0.420773822430074,0.420773822430074,0.420773822430074,0.420773822430074,0,0,0,0,5.35423169995895,56.765750351534710904513673847,56.765750351534710904513673847,3159820
0.07,0,0.4150449341152366085061431978,0.415044934115237,0.415044934115237,0.415044934115237,0.415044934115237,0,0,0,0,5.35423169995895,56.765750351534710904513673847,56.765750351534710904513673847,3686456
0.08,0,0.4097525619984345622121899658,0.409752561998435,0.409752561998435,0.409752561998435,0.409752561998435,0,0,0,0,5.35423169995895,56.765750351534710904513673847,56.765750351534710904513673847,4213092
0.09,0,0.4048923770104565739458423340,0.404892377010457,0.404892377010457,0.404892377010457,0.404892377010457,0,0,0,0,5.35423169995895,56.765750351534710904513673847,56.765750351534710904513673847,4739730
0.10,0,0.4004297970492518427276779339,0.400429797049252,0.400429797049252,0.400429797049252,0.400429797049252,0,0,0,0,5.35423169995895,56.765750351534710904513673847,56.765750351534710904513673847,5266366
0.11,0,0.3963230513966781381602975867,0.396323051396678,0.396323051396678,0.396323051396678,0.396323051396678,0,0,0,0,5.35423169995895,56.765750351534710904513673847,56.765750351534710904513673847,5793002
0.12,0,0.3925317002533221694539328805,0.392531700253322,0.392531700253322,0.392531700253322,0.392531700253322,0,0,0,0,5.35423169995895,56.765750351534710904513673847,56.765750351534710904513673847,6319639
0.13,0,0.3890192043934283503688549722,0.389019204393428,0.389019204393428,0.389019204393428,0.389019204393428,0,0,0,0,5.35423169995895,56.765750351534710904513673847,56.765750351534710904513673847,6846276
0.14,0,0.3857536032759884280106108503,0.385753603275988,0.385753603275988,0.385753603275988,0.385753603275988,0,0,0,0,5.35423169995895,56.765750351534710904513673847,56.765750351534710904513673847,7372912
0.15,0,0.3827072243655184527666322088,0.382707224365518,0.382707224365518,0.382707224365518,0.382707224365518,0,0,0,0,5.35423169995895,56.765750351534710904513673847,56.765750351534710904513673847,7899550
0.16,0,0.3798562076597018667386250490,0.379856207659702,0.379856207659702,0.379856207659702,0.379856207659702,0,0,0,0,5.35423169995895,56.765750351534710904513673847,56.765750351534710904513673847,8426185
0.17,0,0.3767985950032259594069035407,0.376798595003226,0.376798595003226,0.376798595003226,0.376798595003226,0,0,0,0,5.35423169995895,56.765750351534710904513673847,56.765750351534710904513673847,8952822
